"id","turma_id","titulo","image","descricao"
"1","1","Introdução à Aritmética","https://plataforma-matematica-api.app.fslab.dev/imagens/image1.png","Aprenda as operações básicas de adição, subtração, multiplicação e divisão."
"2","1","Frações e Decimais","https://plataforma-matematica-api.app.fslab.dev/imagens/image2.png","Compreenda frações, números decimais e suas conversões."
"3","2","Geometria Básica","https://plataforma-matematica-api.app.fslab.dev/imagens/image6.png","Estude figuras geométricas, perímetro e área."
"4","2","Equações Algébricas","https://plataforma-matematica-api.app.fslab.dev/imagens/image3.png","Resolva equações do 1º e 2º grau com facilidade."
"5","3","Trigonometria","https://plataforma-matematica-api.app.fslab.dev/imagens/image4.png","Explore razões trigonométricas e o círculo unitário."
"6","3","Estatística e Probabilidade","https://plataforma-matematica-api.app.fslab.dev/imagens/image5.png","Introdução a média, mediana, moda e cálculo de probabilidades."
"7","4","Estatística e Probabilidade Avançado","https://plataforma-matematica-api.app.fslab.dev/imagens/image3.png","Introdução a média, mediana, moda e cálculo de probabilidades."
"8","1","Números Complexos","https://plataforma-matematica-api.app.fslab.dev/imagens/image1.png","Aprenda sobre a unidade imaginária e operações com números complexos."
"9","1","Funções Exponenciais","https://plataforma-matematica-api.app.fslab.dev/imagens/image5.png","Explore o comportamento das funções exponenciais e suas aplicações."
"10","2","Funções Logarítmicas","https://plataforma-matematica-api.app.fslab.dev/imagens/image3.png","Entenda logaritmos e suas propriedades essenciais."
"11","2","Matrizes e Determinantes","https://plataforma-matematica-api.app.fslab.dev/imagens/image4.png","Estude operações com matrizes e o cálculo de determinantes."
"12","3","Sistemas Lineares","https://plataforma-matematica-api.app.fslab.dev/imagens/image5.png","Aprenda a resolver sistemas de equações lineares usando matrizes."
"13","3","Derivadas e Aplicações","https://plataforma-matematica-api.app.fslab.dev/imagens/image2.png","Introdução ao cálculo diferencial e suas aplicações."
"14","4","Integrais e Aplicações","https://plataforma-matematica-api.app.fslab.dev/imagens/image4.png","Compreenda a integração e sua relação com áreas e volumes."
"15","4","Progressões Aritméticas e Geométricas","https://plataforma-matematica-api.app.fslab.dev/imagens/image5.png","Explore sequências numéricas e suas propriedades."
"16","2","Teorema de Pitágoras e Aplicações","https://plataforma-matematica-api.app.fslab.dev/imagens/image1.png","Aprofunde-se nas relações métricas dos triângulos retângulos."
"17","4","Números Primos e Criptografia","https://plataforma-matematica-api.app.fslab.dev/imagens/image4.png","Descubra como os números primos são usados na segurança digital."
